id,user_id,task_id,task_title,duration_seconds,start_time,end_time,created_at,updated_at,session_key
1,b042f54f-5371-4985-9a04-0b43f46de69b,b5ccaf8d-8cbe-496a-a2f8-d93601d81a94,MATH2023 HW5,1200,2026-04-04 13:04:53.905111+00,2026-04-04 13:24:53.905111+00,2026-04-04 13:24:53.905111+00,2026-04-04 13:24:53.905111+00,1
2,b042f54f-5371-4985-9a04-0b43f46de69b,fec7466f-9bac-4df5-9ba3-f1cd97075c11,COMP3211 TUE,2508,2026-04-08 10:47:08.251+00,2026-04-08 11:28:57.167+00,2026-04-08 11:28:57.78897+00,2026-04-08 11:28:57.78897+00,2
3,b042f54f-5371-4985-9a04-0b43f46de69b,26e9acf4-aafa-41ca-aacd-2e07699620f0,COMP3211 THU,2828,2026-04-08 13:09:40.764+00,2026-04-08 13:56:48.936+00,2026-04-08 13:56:49.312239+00,2026-04-08 13:56:49.312239+00,3
4,b042f54f-5371-4985-9a04-0b43f46de69b,68d56e8e-64ad-4846-a329-1ceced0cc616,COMP3511 PA2,3278,2026-04-09 08:59:00.707+00,2026-04-09 09:53:38.707+00,2026-04-09 10:53:37.611179+00,2026-04-09 10:53:37.611179+00,4
6,b042f54f-5371-4985-9a04-0b43f46de69b,ba9691a2-55ea-44cd-bdb9-8d2791d32cba,MATH2023 FRI 20260410,4022,2026-04-11 07:35:32.838+00,2026-04-11 08:42:34.838+00,2026-04-11 08:42:33.308467+00,2026-04-11 08:42:33.308467+00,6
8,b042f54f-5371-4985-9a04-0b43f46de69b,2995212e-d9fd-4ff1-90c1-c788149c6d32,MATH2023 HW6,7184,2026-04-11 11:04:59.235+00,2026-04-11 13:04:43.235+00,2026-04-11 13:04:43.421404+00,2026-04-11 13:04:43.421404+00,8
10,b042f54f-5371-4985-9a04-0b43f46de69b,67df9bc6-c06a-4440-a019-23c434998692,COMP3511 HW3,345,2026-04-12 09:33:40.927+00,2026-04-12 09:39:25.927+00,2026-04-12 09:39:24.465426+00,2026-04-12 09:39:24.465426+00,10
12,b042f54f-5371-4985-9a04-0b43f46de69b,80056604-8a14-439a-ae92-b0ec88869045,COMP3511 TUE,7687,2026-04-12 10:44:11.123+00,2026-04-12 12:52:18.123+00,2026-04-12 12:52:16.429997+00,2026-04-12 12:52:16.429997+00,12
14,b042f54f-5371-4985-9a04-0b43f46de69b,766e0623-c5ac-4689-8937-3ac49323527f,实习,4603,2026-04-13 05:08:59+00,2026-04-13 06:25:42+00,2026-04-13 10:27:08.365473+00,2026-04-13 10:27:08.365473+00,14
15,b042f54f-5371-4985-9a04-0b43f46de69b,766e0623-c5ac-4689-8937-3ac49323527f,实习,1633,2026-04-13 10:33:56.555+00,2026-04-13 11:01:09.555+00,2026-04-13 11:01:08.680138+00,2026-04-13 11:01:08.680138+00,15
17,b042f54f-5371-4985-9a04-0b43f46de69b,766e0623-c5ac-4689-8937-3ac49323527f,实习,1779,2026-04-13 11:47:48.866+00,2026-04-13 12:17:27.866+00,2026-04-13 12:17:28.06063+00,2026-04-13 12:17:28.06063+00,17
18,b042f54f-5371-4985-9a04-0b43f46de69b,766e0623-c5ac-4689-8937-3ac49323527f,实习,3412,2026-04-13 11:10:55+00,2026-04-13 12:07:47+00,2026-04-13 12:17:28.919045+00,2026-04-13 12:17:28.919045+00,18
19,b042f54f-5371-4985-9a04-0b43f46de69b,4fd96051-f481-4f37-8158-78a076f20991,COMP3511 THU,2846,2026-04-13 13:06:04.884+00,2026-04-13 13:53:30.884+00,2026-04-13 13:53:30.9439+00,2026-04-13 13:53:30.9439+00,19
21,b042f54f-5371-4985-9a04-0b43f46de69b,67df9bc6-c06a-4440-a019-23c434998692,COMP3511 HW3,2,2026-04-14 11:12:24+00,2026-04-14 11:12:26+00,2026-04-14 11:18:57.222066+00,2026-04-14 11:18:57.222066+00,21
22,b042f54f-5371-4985-9a04-0b43f46de69b,4fd96051-f481-4f37-8158-78a076f20991,COMP3511 THU,193,2026-04-14 11:33:03.668+00,2026-04-14 11:36:16.668+00,2026-04-14 11:36:17.169859+00,2026-04-14 11:36:17.169859+00,22
23,b042f54f-5371-4985-9a04-0b43f46de69b,4fd96051-f481-4f37-8158-78a076f20991,COMP3511 THU,187,2026-04-14 11:28:09+00,2026-04-14 11:31:16+00,2026-04-14 11:36:19.082037+00,2026-04-14 11:36:19.082037+00,23
24,b042f54f-5371-4985-9a04-0b43f46de69b,4fd96051-f481-4f37-8158-78a076f20991,COMP3511 THU,6,2026-04-14 11:27:47+00,2026-04-14 11:27:53+00,2026-04-14 11:36:19.601624+00,2026-04-14 11:36:19.601624+00,24
27,b042f54f-5371-4985-9a04-0b43f46de69b,67df9bc6-c06a-4440-a019-23c434998692,COMP3511 HW3,5094,2026-04-14 12:29:44+00,2026-04-14 13:54:38+00,2026-04-14 13:55:50.729691+00,2026-04-14 13:55:50.729691+00,307db5d5-677a-4efa-b4ec-be915de5c7d7